frame.number,frame.time_relative,eth.src,eth.dst,eth.type,ip.src,ip.dst,arp.src.hw_mac,arp.dst.hw_mac,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,frame.len,icmp.type,icmp.code,data,Label
"1561","323.507445386",,,,"10.0.3.15","23.42.154.34",,,"45944","443",,,"135",,,,0
"1562","323.507699094",,,,"23.42.154.34","10.0.3.15",,,"443","45944",,,"62",,,,0
"1563","323.510501779",,,,"10.0.3.15","23.42.154.34",,,"45944","443",,,"192",,,,0
"1564","323.510731865",,,,"23.42.154.34","10.0.3.15",,,"443","45944",,,"62",,,,0
"1565","323.511126638",,,,"10.0.3.15","23.42.154.34",,,"45944","443",,,"216",,,,0
"1566","323.511311314",,,,"23.42.154.34","10.0.3.15",,,"443","45944",,,"62",,,,0
"1567","323.511834351",,,,"10.0.3.15","23.42.154.34",,,"45944","443",,,"195",,,,0
"1568","323.512006921",,,,"23.42.154.34","10.0.3.15",,,"443","45944",,,"62",,,,0
"1569","323.512478617",,,,"10.0.3.15","23.42.154.34",,,"45944","443",,,"189",,,,0
"1570","323.512647089",,,,"23.42.154.34","10.0.3.15",,,"443","45944",,,"62",,,,0
"1571","323.512709886",,,,"10.0.3.15","23.42.154.34",,,"45944","443",,,"191",,,,0
"1572","323.512851941",,,,"23.42.154.34","10.0.3.15",,,"443","45944",,,"62",,,,0
"1573","323.513115714",,,,"10.0.3.15","23.42.154.34",,,"45944","443",,,"183",,,,0
"1574","323.513261544",,,,"23.42.154.34","10.0.3.15",,,"443","45944",,,"62",,,,0
"1575","323.513524316",,,,"10.0.3.15","23.42.154.34",,,"45944","443",,,"183",,,,0
"1576","323.513657769",,,,"23.42.154.34","10.0.3.15",,,"443","45944",,,"62",,,,0
"1577","323.514110892",,,,"10.0.3.15","23.42.154.34",,,"45944","443",,,"181",,,,0
"1578","323.514380613",,,,"23.42.154.34","10.0.3.15",,,"443","45944",,,"62",,,,0
"1579","323.514571356",,,,"23.42.154.34","10.0.3.15",,,"443","45944",,,"4002",,,,0
"1580","323.514632520",,,,"10.0.3.15","23.42.154.34",,,"45944","443",,,"56",,,,0
"1581","323.515256247",,,,"10.0.3.15","23.42.154.34",,,"45944","443",,,"189",,,,0
"1582","323.515462141",,,,"23.42.154.34","10.0.3.15",,,"443","45944",,,"62",,,,0
"1583","323.515615261",,,,"10.0.3.15","23.42.154.34",,,"45944","443",,,"185",,,,0
"1584","323.515789961",,,,"23.42.154.34","10.0.3.15",,,"443","45944",,,"62",,,,0
"1585","323.516155634",,,,"10.0.3.15","23.42.154.34",,,"45944","443",,,"184",,,,0
"1586","323.516298030",,,,"23.42.154.34","10.0.3.15",,,"443","45944",,,"62",,,,0
"1587","323.516719460",,,,"23.42.154.34","10.0.3.15",,,"443","45944",,,"4436",,,,0
"1588","323.516794212",,,,"23.42.154.34","10.0.3.15",,,"443","45944",,,"1516",,,,0
"1589","323.516806479",,,,"10.0.3.15","23.42.154.34",,,"45944","443",,,"56",,,,0
"1590","323.516933384",,,,"10.0.3.15","23.42.154.34",,,"45944","443",,,"164",,,,0
"1591","323.517125568",,,,"23.42.154.34","10.0.3.15",,,"443","45944",,,"62",,,,0
"1592","323.517367751",,,,"10.0.3.15","23.42.154.34",,,"45944","443",,,"167",,,,0
"1593","323.517490901",,,,"23.42.154.34","10.0.3.15",,,"443","45944",,,"62",,,,0
"1594","323.517794618",,,,"10.0.3.15","23.42.154.34",,,"45944","443",,,"167",,,,0
"1595","323.517937655",,,,"23.42.154.34","10.0.3.15",,,"443","45944",,,"62",,,,0
"1596","323.518047887",,,,"10.0.3.15","23.42.154.34",,,"45944","443",,,"163",,,,0
"1597","323.518194188",,,,"23.42.154.34","10.0.3.15",,,"443","45944",,,"62",,,,0
"1598","323.518789096",,,,"10.0.3.15","23.42.154.34",,,"45944","443",,,"164",,,,0
"1599","323.519051026",,,,"23.42.154.34","10.0.3.15",,,"443","45944",,,"62",,,,0
"1600","323.519228490",,,,"23.42.154.34","10.0.3.15",,,"443","45944",,,"2976",,,,0
"1601","323.519250470",,,,"10.0.3.15","23.42.154.34",,,"45944","443",,,"56",,,,0
"1602","323.519532178",,,,"10.0.3.15","23.42.154.34",,,"45944","443",,,"163",,,,0
"1603","323.519783884",,,,"23.42.154.34","10.0.3.15",,,"443","45944",,,"62",,,,0
"1604","323.521484733",,,,"23.42.154.34","10.0.3.15",,,"443","45944",,,"5896",,,,0
"1605","323.521672581",,,,"10.0.3.15","23.42.154.34",,,"45944","443",,,"56",,,,0
"1606","323.522797559",,,,"23.42.154.34","10.0.3.15",,,"443","45944",,,"2976",,,,0
